Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"","","",127.900000,-81.425000,0.000000,top
"BT1","3.7V 1500mAh LiPo","SM02B-SRSS-TB_LF__SN_",128.250000,-111.750000,0.000000,top
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.750000,-87.482500,180.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.750000,-87.482500,0.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.462500,-85.232500,180.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.250000,-105.750000,-90.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.537500,-80.750000,0.000000,top
"C6","2.2pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.787500,-78.500000,0.000000,top
"C7","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.712500,-78.500000,0.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.762500,-107.550000,0.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.500000,-73.462500,90.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.375000,-73.555000,90.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.750000,-73.462500,90.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.787500,-76.500000,0.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.712500,-78.517500,180.000000,top
"C14","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.712500,-76.500000,180.000000,top
"C15","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.712500,-103.000000,0.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.200000,-93.837500,-90.000000,top
"C17","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.700000,-88.362500,-90.000000,top
"CHRG","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.925000,-99.350000,0.000000,top
"CR1","B5819W-TP","SDO_SOD-123_MCC-M",113.750000,-96.750000,-90.000000,top
"L1","1.2 uH","IND_XFL4020-102MEC",123.000000,-81.867500,90.000000,top
"Q1","PMOS","SOT95P237X112-3N",123.850000,-93.975000,90.000000,top
"R1","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.250000,-107.750000,-90.000000,top
"R2","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.250000,-107.750000,-90.000000,top
"R3","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.500000,-85.250000,0.000000,top
"R4","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.700000,-103.600000,0.000000,top
"R5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.700000,-99.350000,0.000000,top
"R6","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.250000,-83.000000,180.000000,top
"R7","360K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.750000,-75.500000,-90.000000,top
"R8","64.9K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.750000,-76.500000,0.000000,top
"R9","1.5K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.500000,-100.250000,-90.000000,top
"R10","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.000000,-98.000000,90.000000,top
"R11","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.750000,-108.000000,180.000000,top
"R12","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.250000,-96.000000,-90.000000,top
"R13","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.250000,-94.000000,0.000000,top
"R14","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.250000,-97.000000,0.000000,top
"STDBY","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.925000,-103.600000,0.000000,top
"U1","TPS63060","CONV_TPS63060DSCT",128.400000,-81.925000,90.000000,top
"U2","TP4056","SOP127P600X175-9N",116.345000,-102.845000,0.000000,top
"U3","MAX17048G_T10","SON50P200X200X80-9N",135.750000,-100.285000,90.000000,top
"USB","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.750000,-112.525000,90.000000,top
