Comment,Designator,Footprint,JLCPCB Part #
3.7V 1500mAh LiPo,BT1,SM02B-SRSS-TB_LF__SN_:SM02B-SRSS-TB_LF__SN_,C160402
10uF,"C1,C2,C4,C8,C9,C10,C11,C12,C13,C14,C16,C17",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
0.1uF,"C3,C5,C7,C15",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
2.2pF,C6,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1801
B5819W-TP,CR1,B5819SW:SDO_SOD-123_MCC-M,C84354
LED,"STDBY, CHRG, USB",LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
B8B-PH-K-S_LF__SN_,J2,B8B-PH-K-S_LF__SN_:JST_B8B-PH-K-S_LF__SN_,C157974
1.2 uH,L1,XFL4020-102MEC:IND_XFL4020-102MEC,C5355380
PMOS,Q1,IRLML6402TRPBF:SOT95P237X112-3N,C2593
5.1K,"R1,R2",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
100K,"R3,R6",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
1K,"R4,R5",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
360K,R7,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C2930278
64.9K,R8,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C204250
1.5K,R9,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310
10K,"R10,R12",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
470,R11,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710
4.7K,"R13,R14",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
DB301V-3.5-2P-GN-S,"SW1,SW2,SW3,SW4",1984617:PHOENIX_1984617,C695629
TPS63060,U1,TPS63060DSCT:CONV_TPS63060DSCT,C48567
TP4056,U2,TP4056:SOP127P600X175-9N,C725790
MAX17048G_T10,U3,MAX17048G_T10:SON50P200X200X80-9N,C2682616
